Size,Iteration,M parameter,Hash Function,Memory Usage (Peak Bytes),Insertion CPU Time (s),Total Insertion Steps,Load Factor,Total Collisions,Max Bucket Size,Min Bucket Size (non-empty),Empty Buckets,Std Dev of Bucket Lengths,Search CPU Time (s),Average Search Steps
500000,1,1000,modulo,76237398,35.2099999999996,125970267,500.0,499000,559,427,0,20.98890182930017,0.019999999999527063,258.265625
500000,1,1000,folding,76259416,213.3299999999997,501507784,500.0,499618,2768,1,618,866.8999757757523,0.09000000000014552,992.5078125
500000,1,1000,golden_ratio,76235296,35.910000000000366,125966444,500.0,499000,581,434,0,20.80596068438081,0.02999999999974534,254.86328125
500000,1,5000,modulo,76573692,7.4100000000005455,25965839,100.0,495000,132,68,0,9.291695216697542,0.010000000000218279,52.88671875
500000,1,5000,folding,76516440,214.5799999999997,501507784,100.0,499618,2768,1,4618,436.2374509369869,0.1000000000003638,980.814453125
500000,1,5000,golden_ratio,76576484,7.780000000000218,25962479,100.0,495000,137,67,0,9.21908889207605,0.0,52.720703125
500000,2,100,modulo,76116864,560.3400000000008,1250948602,5000.0,499900,5125,4821,0,63.02412236596397,0.21000000000003638,2366.775390625
500000,2,100,folding,76116864,561.0599999999995,1250960948,5000.0,499900,5163,4859,0,64.95352184446968,0.22999999999956344,2605.14453125
500000,2,100,golden_ratio,76116936,564.06,1250950517,5000.0,499900,5135,4791,0,63.32724532142544,0.22000000000025466,2511.85546875
500000,2,1000,modulo,76236952,34.47000000000073,125970267,500.0,499000,559,427,0,20.98890182930017,0.020000000000436557,256.955078125
500000,2,1000,folding,76259416,213.83999999999972,501507784,500.0,499618,2768,1,618,866.8999757757523,0.1000000000003638,1078.431640625
500000,2,1000,golden_ratio,76235296,34.79999999999996,125966444,500.0,499000,581,434,0,20.80596068438081,0.019999999999527063,263.345703125
500000,2,5000,modulo,76573692,7.029999999999527,25965839,100.0,495000,132,68,0,9.291695216697542,0.010000000000218279,48.814453125
500000,2,5000,folding,76516440,213.72999999999934,501507784,100.0,499618,2768,1,4618,436.2374509369869,0.0999999999994543,972.408203125
500000,2,5000,golden_ratio,76576484,7.799999999999963,25962479,100.0,495000,137,67,0,9.21908889207605,0.010000000000218279,50.947265625
500000,3,100,modulo,76116864,561.4799999999993,1250948602,5000.0,499900,5125,4821,0,63.02412236596397,0.21000000000003638,2374.1640625
500000,3,100,folding,76116864,560.5900000000001,1250960948,5000.0,499900,5163,4859,0,64.95352184446968,0.22000000000025466,2483.6328125
500000,3,100,golden_ratio,76116936,559.0500000000002,1250950517,5000.0,499900,5135,4791,0,63.32724532142544,0.21000000000094587,2474.7421875
500000,3,1000,modulo,76236952,33.889999999998764,125970267,500.0,499000,559,427,0,20.98890182930017,0.029999999998835847,272.45703125
500000,3,1000,folding,76259416,206.22999999999934,501507784,500.0,499618,2768,1,618,866.8999757757523,0.09000000000014552,1032.86328125
500000,3,1000,golden_ratio,76235296,34.099999999998325,125966444,500.0,499000,581,434,0,20.80596068438081,0.029999999998835847,247.8984375
500000,3,5000,modulo,76573692,6.879999999998981,25965839,100.0,495000,132,68,0,9.291695216697542,0.0,51.447265625
500000,3,5000,folding,76516440,207.1300000000008,501507784,100.0,499618,2768,1,4618,436.2374509369869,0.09000000000014552,1033.87109375
500000,3,5000,golden_ratio,76576484,7.399999999999199,25962479,100.0,495000,137,67,0,9.21908889207605,0.0,48.74609375
500000,4,100,modulo,76116864,558.6500000000012,1250948602,5000.0,499900,5125,4821,0,63.02412236596397,0.21999999999934516,2522.3984375
500000,4,100,folding,76116864,567.19,1250960948,5000.0,499900,5163,4859,0,64.95352184446968,0.2000000000007276,2385.54296875
500000,4,100,golden_ratio,76116936,564.8000000000014,1250950517,5000.0,499900,5135,4791,0,63.32724532142544,0.22000000000116415,2567.77734375
500000,4,1000,modulo,76236952,34.17999999999964,125970267,500.0,499000,559,427,0,20.98890182930017,0.029999999998835847,254.734375
500000,4,1000,folding,76259416,209.8799999999984,501507784,500.0,499618,2768,1,618,866.8999757757523,0.09000000000014552,1001.99609375
500000,4,1000,golden_ratio,76235296,34.6300000000008,125966444,500.0,499000,581,434,0,20.80596068438081,0.029999999998835847,253.34375
500000,4,5000,modulo,76573692,7.19999999999869,25965839,100.0,495000,132,68,0,9.291695216697542,0.00999999999839929,52.8046875
500000,4,5000,folding,76516440,209.49999999999977,501507784,100.0,499618,2768,1,4618,436.2374509369869,0.09000000000014552,1006.64453125
500000,4,5000,golden_ratio,76576484,7.399999999999418,25962479,100.0,495000,137,67,0,9.21908889207605,0.010000000000218279,50.455078125
1000000,0,100,modulo,152558864,2367.4100000000003,5001925461,10000.0,999900,10257,9706,0,92.24543349131164,0.47999999999956344,5189.38671875
1000000,0,100,folding,152446464,2368.2599999999998,5002009727,10000.0,999900,10179,9714,0,100.96801473734145,0.46999999999934516,5150.109375
1000000,0,100,golden_ratio,152446536,2372.0299999999984,5001982169,10000.0,999900,10283,9718,0,98.20071282837003,0.4599999999991269,5008.78125
